% Station Trondheim, integrated monthly doses and sampling fraction (0= complete loss of measurements, 1=lossfree measurement
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Gaps in measurements have been filled with ancillary measurement data (Finse), or clear sky modelled data, adjusted for cloud influence. Source of UV-cloud modification factors: Listed below for the respective station and period
% STRÅNG-based data (http://strang.smhi.se/extraction/index.php) period: 1901	
% Octa-based data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/, period: 1902	
% Solar Light SL-501 UV-Biometer measurements (Finse only), from an instrument operated by DSA, period: 1900	- 1900
% Pyranometer-based gapfilling for stations Landvik, Kise, Trondheim (Kvithamar), Tromsø (Holt), Andøya (Sortland), Blindern (Aas): Pyranometer data provided by Agrometeorology Norway (LMT), http://lmt.bioforsk.no. Period: 1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	
% Pyranometer-based gapfilling for station Bergen, period 1995-2021: Pyranometer data from the Radiation Observatory at the University of Bergen and clear sky modelled global radiation for all stations is provided by Jan-Asle Olseth (Jan.Olseth@uib.no).
%
% Pyranometer-based gapfilling for the stations Trondheim (Gloshaugen), Blindern, period 2017-2021: Pyranometer data from the Norwegian Centre for Climate Services, https://seklima.met.no/observations/
% Pyranometer-based gapfilling for station Finse, period 2018-2021: Pyranometer data from the Finse Eco-Hydrological Observatory, provided by Norbert Pirk (norbert.pirk@geo.uio.no)
% Pyranometer-based gapfilling for station Ny-Ålesund, period 1995-2021: (1): Maturilli, Marion; Herber, Andreas; König-Langlo, Gert (2014): Basic and other measurements of radiation from the Baseline Surface Radiation Network (BSRN) Station Ny-Ålesund in the years 1992 to 2013, reference list of 253 datasets. PANGAEA, https://doi.org/10.1594/PANGAEA.150000. (2): Maturilli, Marion (2020): Basic and other measurements of radiation at station Ny-Ålesund (2006-05 et seq). Alfred Wegener Institute - Research Unit Potsdam, PANGAEA, https://doi.org/10.1594/PANGAEA.914927
% Seasonally mean period: 1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
%
% Columns: Year	Mon	Day	Daynum	Hour	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  7.5001E+02	  7.6589E+02	  1.7003E+03	  9.7698E+05	  1.1211E+03	  1.2840E+02	  3.5300E+02	  1.6356E+01	  1.6575E+04	  2.3874E+06	  3.1843E+01	0.000
1995	2	  3.3026E+03	  3.3625E+03	  1.0497E+04	  3.7071E+06	  5.3360E+03	  5.7051E+02	  1.8996E+03	  8.4122E+01	  6.3572E+04	  9.8207E+06	  1.3608E+02	0.000
1995	3	  1.2867E+04	  1.3051E+04	  6.2098E+04	  1.1507E+07	  2.3163E+04	  2.7372E+03	  1.1134E+04	  3.8614E+02	  2.0006E+05	  3.0830E+07	  4.2863E+02	0.000
1995	4	  3.0064E+04	  3.0393E+04	  1.8596E+05	  2.0923E+07	  5.9225E+04	  8.4370E+03	  3.6097E+04	  1.0229E+03	  3.6928E+05	  5.7001E+07	  7.9432E+02	0.000
1995	5	  5.0694E+04	  5.1142E+04	  3.4651E+05	  2.8629E+07	  1.0507E+05	  1.7504E+04	  7.2705E+04	  1.8469E+03	  5.1875E+05	  7.7118E+07	  1.0728E+03	0.000
1995	6	  5.6534E+04	  5.6973E+04	  3.9925E+05	  2.8065E+07	  1.1991E+05	  2.2077E+04	  8.8138E+04	  2.1296E+03	  5.1853E+05	  7.5245E+07	  1.0466E+03	0.000
1995	7	  6.3658E+04	  6.4132E+04	  4.5371E+05	  3.0290E+07	  1.3593E+05	  2.5771E+04	  1.0161E+05	  2.4223E+03	  5.6327E+05	  8.1534E+07	  1.1360E+03	0.000
1995	8	  4.1175E+04	  4.1504E+04	  2.8938E+05	  2.1120E+07	  8.6935E+04	  1.5629E+04	  6.3078E+04	  1.5402E+03	  3.8747E+05	  5.7862E+07	  8.0972E+02	0.000
1995	9	  2.4343E+04	  2.4575E+04	  1.6160E+05	  1.4882E+07	  4.9652E+04	  7.8743E+03	  3.3040E+04	  8.6812E+02	  2.6578E+05	  4.1951E+07	  5.9121E+02	0.000
1995	10	  6.5164E+03	  6.5994E+03	  3.5289E+04	  5.2881E+06	  1.2228E+04	  1.6252E+03	  6.6596E+03	  2.0817E+02	  9.1588E+04	  1.5138E+07	  2.1427E+02	0.000
1995	11	  1.4090E+03	  1.4339E+03	  4.6800E+03	  1.5520E+06	  2.3069E+03	  2.7896E+02	  9.1320E+02	  3.6650E+01	  2.6517E+04	  4.0837E+06	  5.6284E+01	0.000
1995	12	  3.4695E+02	  3.5438E+02	  8.4052E+02	  4.5800E+05	  5.1950E+02	  6.5320E+01	  1.8221E+02	  7.4189E+00	  7.7453E+03	  1.0477E+06	  1.3446E+01	0.000
1996	1	  1.3037E+03	  1.3382E+03	  5.4805E+03	  1.3023E+06	  2.2875E+03	  3.8753E+02	  1.2055E+03	  3.7786E+01	  2.2311E+04	  3.3538E+06	  4.4912E+01	0.887
1996	2	  4.7453E+03	  4.8248E+03	  2.4881E+04	  3.9889E+06	  8.8200E+03	  1.1271E+03	  4.7960E+03	  1.4681E+02	  7.0286E+04	  1.0021E+07	  1.3582E+02	1.000
1996	3	  1.8715E+04	  1.8936E+04	  1.1360E+05	  1.3382E+07	  3.6613E+04	  5.3062E+03	  2.2251E+04	  6.3697E+02	  2.3455E+05	  3.6305E+07	  5.0880E+02	0.995
1996	4	  3.8302E+04	  3.8649E+04	  2.6176E+05	  2.2073E+07	  7.9141E+04	  1.3054E+04	  5.4716E+04	  1.3871E+03	  3.9642E+05	  5.9033E+07	  8.1931E+02	1.000
1996	5	  5.4072E+04	  5.4541E+04	  3.7749E+05	  2.9208E+07	  1.1321E+05	  1.9561E+04	  8.0692E+04	  2.0050E+03	  5.3089E+05	  7.6810E+07	  1.0539E+03	1.000
1996	6	  5.5064E+04	  5.5486E+04	  3.9985E+05	  2.5189E+07	  1.1842E+05	  2.2805E+04	  9.0055E+04	  2.1313E+03	  4.7126E+05	  6.3919E+07	  8.6908E+02	1.000
1996	7	  5.8358E+04	  5.8814E+04	  4.2180E+05	  2.7395E+07	  1.2508E+05	  2.3731E+04	  9.4351E+04	  2.2433E+03	  5.0960E+05	  7.0168E+07	  9.5740E+02	1.000
1996	8	  4.8944E+04	  4.9322E+04	  3.5380E+05	  2.2877E+07	  1.0513E+05	  2.0255E+04	  8.0014E+04	  1.8709E+03	  4.2346E+05	  6.0435E+07	  8.4004E+02	1.000
1996	9	  2.7263E+04	  2.7494E+04	  1.9236E+05	  1.4435E+07	  5.7352E+04	  1.0153E+04	  4.1475E+04	  1.0187E+03	  2.6207E+05	  3.8871E+07	  5.4910E+02	1.000
